iter	Accuracy	Logloss
141	0.9382814815	0.146439008
142	0.9383407407	0.1463210933
143	0.9385777778	0.1461580721
144	0.9384888889	0.1459538808
145	0.9385185185	0.1458259511
146	0.9384888889	0.1457377461
147	0.9385481481	0.1456807136
148	0.938637037	0.1456361653
149	0.9386962963	0.145601839
150	0.9389037037	0.1454016704
151	0.9390814815	0.1452496495
152	0.9392296296	0.1450139133
153	0.9392592593	0.1448856651
154	0.9392888889	0.1447590505
155	0.939437037	0.1446436546
156	0.9395259259	0.1445111641
157	0.9395851852	0.1443258405
158	0.9396740741	0.1440791726
159	0.9397037037	0.1440509643
160	0.9398814815	0.1439663704
161	0.9399407407	0.1438503749
162	0.9398518519	0.1437376176
163	0.9400592593	0.1436269325
164	0.9401481481	0.1435379555
165	0.9401185185	0.1434460268
166	0.9401777778	0.1433529145
167	0.9402074074	0.1432585719
168	0.940237037	0.1432000416
169	0.9402962963	0.1431666257
170	0.940237037	0.1431184631
171	0.9402962963	0.1430247787
172	0.9403259259	0.1429260777
173	0.9403555556	0.142907854
174	0.9402962963	0.142855133
175	0.9403851852	0.1427222525
176	0.9403851852	0.1425326541
177	0.9403259259	0.1424567102
178	0.9404740741	0.1421874973
179	0.9403851852	0.1421063115
180	0.940562963	0.1420524198
181	0.9406814815	0.1418203637
182	0.9406814815	0.1417615851
183	0.9409777778	0.1414619087
184	0.9409481481	0.1412778874
185	0.941037037	0.141145066
186	0.9412740741	0.1410536023
187	0.9410962963	0.1410116287
188	0.9411851852	0.1408766259
189	0.9414222222	0.140712869
190	0.9413333333	0.140600642
191	0.9413925926	0.1404626553
192	0.9414518519	0.1403899505
193	0.9414518519	0.1402908961
194	0.9416296296	0.1401608551
195	0.9417185185	0.1400263511
196	0.9416296296	0.1399731489
197	0.9418074074	0.1398793745
198	0.9417777778	0.1397812357
199	0.9418666667	0.1396184077
200	0.9417481481	0.1395047699
201	0.9418666667	0.1392613871
202	0.941837037	0.1391733456
203	0.9418666667	0.1390487953
204	0.9419259259	0.138981211
205	0.9419555556	0.1389513117
206	0.9420740741	0.1387517426
207	0.9420740741	0.1385990293
208	0.9422222222	0.1385327519
209	0.9421037037	0.1384488232
210	0.9421333333	0.1382822704
211	0.9421037037	0.1381738323
212	0.9421925926	0.1380895213
213	0.9422814815	0.1379993339
214	0.9424	0.137890886
215	0.9425777778	0.1377116931
216	0.9425481481	0.1376053213
217	0.9426074074	0.1375110372
218	0.9427555556	0.1373464943
219	0.9427851852	0.137163684
220	0.9429333333	0.1370216266
221	0.9430518519	0.1369196436
222	0.9430222222	0.1367560786
223	0.9430518519	0.1366105265
224	0.9432592593	0.1364498049
225	0.9432592593	0.1363526516
226	0.9433185185	0.136210486
227	0.9433481481	0.1360616985
228	0.9434666667	0.1359500889
229	0.9434666667	0.135799532
230	0.9435259259	0.1356575998
231	0.9436444444	0.1355746949
232	0.9438222222	0.1354810457
233	0.9438222222	0.1354124877
234	0.9439407407	0.135338039
235	0.9440888889	0.1350416948
236	0.9440592593	0.1349407514
237	0.9442666667	0.1348688685
238	0.9442962963	0.1347291988
239	0.9443851852	0.1346139229
240	0.9445333333	0.1344911819
241	0.9445333333	0.1342640598
242	0.9447111111	0.1341686541
243	0.9448296296	0.1340726746
244	0.9448296296	0.1339368291
245	0.9448592593	0.1337999683
246	0.9449481481	0.1337138941
247	0.9449481481	0.1337120341
248	0.9451259259	0.1334904954
249	0.9451259259	0.1333079207
250	0.9451851852	0.133243062
251	0.9451851852	0.1331938374
252	0.9452148148	0.1331534935
253	0.9450666667	0.1330656093
254	0.9450666667	0.1330117495
255	0.945037037	0.132848122
256	0.9450962963	0.1327697207
257	0.9450962963	0.1325972622
258	0.945362963	0.1325069695
259	0.9454518519	0.1323739475
260	0.9455407407	0.1322650483
261	0.9456296296	0.1321859569
262	0.9456888889	0.132075349
263	0.9457185185	0.1319256379
264	0.9457481481	0.1318507014
265	0.9458074074	0.1316326952
266	0.9459851852	0.1314734362
267	0.9460444444	0.1313658745
268	0.9459259259	0.131251656
269	0.9460740741	0.1311923299
270	0.9463111111	0.1310803024
271	0.9462814815	0.1310610607
272	0.9462814815	0.1309742806
273	0.9463407407	0.1307918922
274	0.9464888889	0.1306317244
275	0.9464888889	0.1305151334
276	0.9464592593	0.1303775782
277	0.9466074074	0.1302597995
278	0.9466666667	0.1301763957
279	0.9467259259	0.1300690422
280	0.9468740741	0.1299309981
281	0.9468740741	0.1299016233
282	0.946962963	0.1298181839
283	0.9470518519	0.129658139
284	0.9470518519	0.1295873149
285	0.9470814815	0.1295384472
286	0.9470814815	0.1295274437
287	0.9469333333	0.1293637541
288	0.9471111111	0.1292221073
289	0.9471407407	0.1291433981
290	0.9472592593	0.1290978657
291	0.9471111111	0.1290018874
292	0.9472296296	0.1288523602
293	0.9472888889	0.1287406754
294	0.9474074074	0.1286069562
295	0.9473481481	0.1284906848
296	0.9474074074	0.1284315831
297	0.9475555556	0.1283271803
298	0.9476740741	0.1282188409
299	0.9476148148	0.1280440526
300	0.947762963	0.1279126057
301	0.9478814815	0.1278059247
302	0.948	0.1276575193
303	0.9482074074	0.127532047
304	0.9482962963	0.1273818804
305	0.9483259259	0.1272108891
306	0.9484740741	0.1271268342
307	0.9485037037	0.1270164288
308	0.9483555556	0.1269538829
309	0.9483555556	0.1268025526
310	0.9485037037	0.1266433012
311	0.948562963	0.1265155531
312	0.9485037037	0.1263896839
313	0.9486814815	0.1263369917
314	0.9486814815	0.1262166522
315	0.9487703704	0.1260942443
316	0.9487407407	0.1260726454
317	0.9488296296	0.1259162642
318	0.9490074074	0.1258196923
319	0.949037037	0.1257332204
320	0.9491259259	0.1256551822
321	0.9493037037	0.1255366495
322	0.9492740741	0.1254208577
323	0.9494518519	0.1252956447
324	0.9495407407	0.1251842974
325	0.9496	0.1250983568
326	0.9496592593	0.1249631538
327	0.9497777778	0.1248803
328	0.9500148148	0.1246588347
329	0.9501333333	0.124556799
330	0.9500444444	0.1245129025
331	0.9499851852	0.1244221707
332	0.9501037037	0.124281475
333	0.9502814815	0.1241639859
334	0.9502814815	0.1240886263
335	0.9504888889	0.123916334
336	0.9506962963	0.1237970139
337	0.9508444444	0.1237043138
338	0.9509333333	0.1235957017
339	0.9509925926	0.1235090017
340	0.950962963	0.123376118
341	0.9509333333	0.1232596835
342	0.9511407407	0.1232164705
343	0.9510518519	0.1231129986
344	0.9510814815	0.1230605432
345	0.9510814815	0.1229847718
346	0.9511703704	0.1228909939
347	0.9511703704	0.122887887
348	0.9512592593	0.1228261058
349	0.9512296296	0.1227438603
350	0.9512	0.1226511331
351	0.9512296296	0.1224764032
352	0.9512592593	0.1224509421
353	0.9512	0.122323764
354	0.9514666667	0.1222128427
355	0.951437037	0.1220506323
356	0.951437037	0.1219675657
357	0.9515259259	0.1218798982
358	0.9515555556	0.121792555
359	0.951762963	0.1217123061
360	0.9518518519	0.1216105238
361	0.9518222222	0.1215193719
362	0.9518814815	0.1214730156
363	0.952	0.1213847357
364	0.9519703704	0.1213475575
365	0.9520888889	0.1212808488
366	0.9521185185	0.121205234
367	0.9521481481	0.1211358319
368	0.9521777778	0.1210675412
369	0.9522962963	0.1210091239
370	0.9523259259	0.1209122046
371	0.9523851852	0.1208796539
372	0.9524444444	0.1208304061
373	0.9525037037	0.1207462299
374	0.9525037037	0.1207009358
375	0.952562963	0.1206098259
376	0.952562963	0.1206040786
377	0.9526518519	0.1205026487
378	0.9526814815	0.1204569093
379	0.9527703704	0.1203130554
380	0.9528296296	0.1202176294
381	0.9529481481	0.120064572
382	0.9528296296	0.1199628282
383	0.9529185185	0.1198986869
384	0.9529481481	0.1198728928
385	0.9530074074	0.1197935519
386	0.9531555556	0.1197120968
387	0.9531851852	0.1195921494
388	0.9530962963	0.1195132194
389	0.9531555556	0.119439163
390	0.9532444444	0.1193434521
391	0.9531851852	0.1192522256
392	0.9531851852	0.1192358462
393	0.9531851852	0.1192209515
394	0.9532444444	0.1191407059
395	0.9533925926	0.1190340176
396	0.9533925926	0.1189904657
397	0.9534518519	0.1189112527
398	0.9534814815	0.1187619286
399	0.9536	0.1186928918
400	0.9536296296	0.1186131552
401	0.9537777778	0.118499364
402	0.953837037	0.1183892418
403	0.9538962963	0.1183312881
404	0.9539555556	0.1182169104
405	0.9539851852	0.1181272621
406	0.9540444444	0.1180478912
407	0.9542222222	0.1179445867
408	0.954162963	0.1179084935
409	0.9541925926	0.1177501706
410	0.954162963	0.1177418789
411	0.9542518519	0.117652303
412	0.9543111111	0.1174987083
413	0.9542814815	0.1174202955
414	0.9543407407	0.117392889
415	0.9543111111	0.1173319035
416	0.9543703704	0.1172537877
417	0.9543407407	0.1171803004
418	0.9543703704	0.1171252629
419	0.9544888889	0.1170572792
420	0.9546666667	0.1169746187
421	0.9546962963	0.1168944706
422	0.9546666667	0.1168279511
423	0.9546666667	0.116787831
424	0.9548148148	0.1166267148
425	0.9548444444	0.1165820683
