iter	Logloss
0	0.5863428124
1	0.5090071801
2	0.4461993482
3	0.3979976414
4	0.3597237869
5	0.3317300779
6	0.3101710533
7	0.2943102479
8	0.2799421128
9	0.2672971872
10	0.259047308
11	0.2515224961
12	0.2457368759
13	0.2399571849
14	0.2353276753
15	0.2312023121
16	0.227760475
17	0.2239683842
18	0.2211663838
19	0.2181955477
20	0.21604772
21	0.2137927134
22	0.2119451663
23	0.2101276553
24	0.2087396435
25	0.2064384561
26	0.2048476724
27	0.2024120968
28	0.20114822
29	0.1992407233
30	0.1981153588
31	0.1971517776
32	0.1961592081
33	0.195267164
34	0.1944159186
35	0.1934217595
36	0.1925806785
37	0.1918917171
38	0.1910758903
39	0.1902876467
40	0.1894717582
41	0.1889194354
42	0.1883239442
43	0.1878872684
44	0.1872617003
45	0.1867937647
46	0.1862887673
47	0.1857367029
48	0.1850715571
49	0.1846418239
50	0.1840908584
51	0.1835184912
52	0.1831198877
53	0.1823798562
54	0.1819776891
55	0.1813644848
56	0.1810592688
57	0.180690195
58	0.1804339419
59	0.180206
60	0.1794307941
61	0.1791447638
62	0.178714393
63	0.1782894449
64	0.1780352643
65	0.1777892359
66	0.1772562603
67	0.1770352487
68	0.1768039282
69	0.1766343823
70	0.176269674
71	0.1760554984
72	0.1758886752
73	0.1756518451
74	0.1754975254
75	0.175348615
76	0.1752108527
77	0.1744636389
78	0.1742217649
79	0.174025394
80	0.1738677647
81	0.1736664487
82	0.1734308079
83	0.1733125636
84	0.1732346583
85	0.1730498367
86	0.1727256028
87	0.1725635732
88	0.1723725834
89	0.172188791
90	0.1720915012
91	0.1718675486
92	0.1717120247
93	0.171459021
94	0.1712137397
95	0.1711064998
96	0.1709772637
97	0.1708765081
98	0.1706633699
99	0.1704190814
100	0.1701712272
101	0.1700493548
102	0.1699225134
103	0.1698033241
104	0.1697304462
105	0.1695041959
106	0.1694147779
107	0.1690994408
108	0.1689529002
109	0.1688725156
110	0.1688180112
111	0.1684827717
112	0.1683852727
113	0.1682890851
114	0.1682014861
115	0.1681194431
116	0.1678964206
117	0.167779895
118	0.1675918606
119	0.1674170207
120	0.1673101161
121	0.1671958696
122	0.1670951792
123	0.1670825561
124	0.16701088
125	0.1669191473
126	0.1668245482
127	0.1666954567
128	0.1666074532
129	0.1665055017
130	0.1663960628
131	0.1663365414
132	0.1661390309
133	0.166047432
134	0.1659354973
135	0.1658411464
136	0.1657349162
137	0.1657251557
138	0.1656504336
139	0.1654734181
140	0.1654132472
141	0.1653379507
142	0.1652110327
143	0.1650469977
144	0.1649668991
145	0.1649448466
146	0.1648380509
147	0.1646851855
148	0.1646135657
149	0.1645140464
150	0.1644127376
151	0.1642935223
152	0.1642090179
153	0.164062853
154	0.1640184211
155	0.1639222156
156	0.1638800686
157	0.1638539925
158	0.1637425662
159	0.1636971148
160	0.1635293968
161	0.1634255396
162	0.1633653509
163	0.1631183043
164	0.1630572246
165	0.1628959805
166	0.1628415452
167	0.1627518843
168	0.1627166499
169	0.1626937074
170	0.1626568341
171	0.1625568366
172	0.1625454442
173	0.1625403498
174	0.1625017142
175	0.1623802664
176	0.1622949955
177	0.1622678332
178	0.1621801444
179	0.1621033274
180	0.1620175588
181	0.1619586036
182	0.1617868801
183	0.1616012665
184	0.1614920427
185	0.1614648344
186	0.1613973946
187	0.1613136541
188	0.1612746721
189	0.1612221012
190	0.1611977312
191	0.1610522106
192	0.1610261724
193	0.1609579088
194	0.1609006708
195	0.1608146317
196	0.1607445905
197	0.1606492872
198	0.1606308596
199	0.1606203697
200	0.1604719153
201	0.1604053746
202	0.1603197142
203	0.1601836818
204	0.1600992366
205	0.1600177498
206	0.1599289389
207	0.1598821076
208	0.1598211885
209	0.1597993266
210	0.1597455603
211	0.1596961615
212	0.1596554973
213	0.1595566842
214	0.1594449913
215	0.1593825793
216	0.1592902453
217	0.1592272143
218	0.1591573669
219	0.159114729
220	0.1590165903
221	0.1589222435
222	0.1588772968
223	0.1588546941
224	0.1588174207
225	0.158742368
226	0.1586997964
227	0.1585571262
228	0.1583481168
229	0.1581917008
230	0.1581114158
231	0.1580365514
232	0.157843057
233	0.1577495947
234	0.1576994453
235	0.1576616527
236	0.1575812013
237	0.157461266
238	0.1573035753
239	0.1572445778
240	0.1571672368
241	0.1570996442
242	0.157047165
243	0.1570025046
244	0.1569220811
245	0.1568796782
246	0.1567499584
247	0.1566640072
248	0.1566083435
249	0.1563849155
250	0.1561947294
251	0.1560555834
252	0.1559200629
253	0.1558780783
254	0.1558591176
255	0.1557736902
256	0.1556841988
257	0.1556126367
258	0.1555466051
259	0.1554765279
260	0.1554115557
261	0.1552793819
262	0.1552177948
263	0.155130228
264	0.1550683534
265	0.154989085
266	0.1549116945
267	0.1548513493
268	0.1548048241
269	0.1547702974
270	0.1547303131
271	0.1546378424
272	0.1545930184
273	0.1545420186
274	0.1544829227
275	0.1543754611
276	0.1542949724
277	0.1541916919
278	0.1541050921
279	0.1540640301
280	0.1540345424
281	0.1540125714
282	0.1539394486
283	0.15385873
284	0.1537820884
285	0.1537271404
286	0.1536513736
287	0.1535570425
288	0.1534007078
289	0.1533881513
290	0.1533365361
291	0.1532144379
292	0.1531414534
293	0.1530758601
294	0.1530013171
295	0.1529459916
296	0.1528721646
297	0.1528137882
298	0.152735806
299	0.1526701584
300	0.1526137253
301	0.152513144
302	0.1524461274
303	0.1523429721
304	0.1523028378
305	0.1522914727
306	0.1522397728
307	0.1521689663
308	0.1521178371
309	0.1520545401
310	0.1520194987
311	0.1518492384
312	0.1518057573
313	0.1517442368
314	0.1516859196
315	0.1516147224
316	0.1514482947
317	0.1514424079
318	0.1513553985
319	0.1512911696
320	0.1512570942
321	0.1511467026
322	0.1511259282
323	0.1510826649
324	0.1510673785
325	0.1510413647
326	0.1510105921
327	0.1508863089
328	0.1507613159
329	0.1507152951
330	0.150624996
331	0.1505516773
332	0.1504440059
333	0.1503560148
334	0.1503115012
335	0.1502182601
336	0.1501366111
337	0.1500779956
338	0.1500360304
339	0.1499926748
340	0.1498963496
341	0.1498350176
342	0.1497887483
343	0.1497250754
344	0.1496393665
345	0.1495638874
346	0.1494821031
347	0.1494347513
348	0.1493658124
349	0.1493307089
350	0.149215983
351	0.1491394685
352	0.1490699111
353	0.1490368514
354	0.1489669955
355	0.148893736
356	0.148841524
357	0.1487874208
358	0.1487306554
359	0.1486795497
360	0.1486219497
361	0.1485796708
362	0.148508505
363	0.1484438895
364	0.1484289572
365	0.1483675525
366	0.1482746328
367	0.1481535378
368	0.1481106884
369	0.1480404678
370	0.1479563091
371	0.1478519488
372	0.1478148999
373	0.1477678779
374	0.1477156345
375	0.1476686672
